à,at; in; to; with
jour de l'an (n.m.),New Year' day
journal (n.m.),newspaper; diary; news
journalier,daily
journaliste (double genre),journalist
journée (n.f.),day
joyeux,happy
judiciaire,judicial; judiciary
judicieux,sensible; judicious
judo (n.m.),judo
juge (n.m.),judge
jugement (n.m.),sentence; decision; award; judgement
juger (v.),judge; try; consider
juillet (n.m.),July
juin (n.m.),June
Juliette (n.pr.),Juliet
Juliette Gréco (n.pr.),Juliette Gréco
jumeau,twin [adjective]
jumeau (n.m.),twin
jumelles (n.f.pl.),binoculars
jungle (n.f.),jungle
jupe (n.f.),skirt
Jupiter (n.pr.m.),Jupiter
jupon (n.m.),petticoat; slip
Jura (n.pr.m.),Jura
jurer (v.),swear
juridique,legal; juridical
jury (n.m.),jury
jus (n.m.),juice
jus d'ananas (n.m.),pineapple juice
jus de fruit (n.m.),fruit juice
jus d'orange (n.m.),orange juice
jusqu'à ce que,until; till
jusqu'aux os,soaked to the skin
jusque,until; up to; to; as far as
jusque-là,up to there; up until then
jusqu'ici,up to here
juste,just [adverb]; right; correctly; only
justement,rightly; justly; exactly; precisely
justice (n.f.),justice; fairness; law
justiciable (double genre),person to be tried
justificatif (n.m.),written proof; evidence
justifier (v.),justify
juteux,juicy
karaté (n.m.),karate
kayak (n.m.),kayak; canoe
ketchup (n.m.),ketchup
Kilimandjaro (n.pr.m.),Kilimanjaro
kilo (n.m.),kilo
kilomètre (n.m.),kilometre (UK)
kilomètre par heure (n.m.),kilometres per hour
kiosque (n.m.),kiosk; news-stand
kiwi (n.m.),kiwi
là,here; there; then
là-bas,over there
là-dedans,in there
là-haut,up there
La Joconde,Mona Lisa
La Nausée,Nausea
La Nuit Sacrée,The Sacred Night
La Porte de l'Enfer,The Gate of Hell
La Rochelle (n.pr.f.),La Rochelle
laborantin (n.m.),laboratory assistant
laborieux,laborious
lac (n.m.),lake
lacet (n.m.),lace; bend; twist;braid
laine (n.f.),wool
laisser (v.) [déposer],leave
laisser (v.) [autoriser],let; leave; permit
laisser au hasard,leave to chance
laisser entendre,let; leave
laisser indifférent,leave sb feeling indifferent
laisser tomber,give up; let down
laissez-passer (n.m.),pass; permit
lait (n.m.),milk
lait demi-écrémé,semi-skimmed milk
lait-fraise (n.m.),strawberry milk
lait ribot (n.m.),kind of buttermilk
laitage (n.m.),dairy product
laitue (n.f.),lettuce
lame de fond (n.f.),ground swell
lampadaire (n.m.),street lamp; standard lamp
lampe (n.f.),lamp
Lance Armstrong (n.pr.),Lance Armstrong
lancement (n.m.),launching; throwing
lancer (v.),throw; launch
lancer (n.m.),throw; casting
lancer de poids (n.m.),shotput
langage (n.m.),language
langouste (n.f.),lobster
langoustine (n.f.),scampi; langoustine
langue (n.f.) [langage],language
langue de bois (n.f.),waffle
langue d'oc (n.f.),Provençal French
Laos (n.pr.m.),Laos
lapin (n.m.),rabbit
laps de temps (n.m.),period of time; while
large,big; large; wide;broad
largement,amply; widely; generously
largeur (n.f.),width; breadth
larguer (v.),slacken off; castoff
lasagne (n.f.),lasagne
laser (n.m.),laser
lasser (v.),weary; try
lasso (n.m.),lasso
latitude (n.f.),latitude
lavabo (n.m.),washbasin (UK); sink (US)
lave-linge (n.m.),washing machine
lave-vaisselle (n.m.),dishwasher
laver (v.),wash
laverie automatique (n.f.),Launderette (UK);Laundromat (US)
laxisme (n.m.),laxity
le [article],the
le [pronom],it; him; her
Le Baiser,The Kiss
Le Baiser de l'Hôtel de Ville,The Kiss at the Hôtel de ville
Le Caire,Cairo
Le Dernier Métro,The Last Metro
Le Havre (n.pr.),Le Havre
Le Livre de la jungle,The Jungle Book
Le Malade imaginaire,The Imaginary Invalid
Le Penseur,The Thinker
Le Petit Prince,The Little Prince
Le Premier Manifeste du surréalisme,First Surrealist Manifesto
Le Procope (n.pr.m.),The Procope
leader (n.m.),leader
leçon (n.f.),lesson
lecteur (n.m.),reader
lecture (n.f.),reading
légal,legal
légende (n.f.),legend
léger,light; weak; slight
légèrement,lightly; thoughtlessly; slightly
légèreté (n.f.),lightness; gracefulness
législatif,legislative
légume (n.m.),vegetable
lendemain (n.m.),following day
lent,slow
lentement,slowly
lentille (n.f.),lentil
Léonard de Vinci (n.pr.),Leonardo da Vinci
Léopold Sédar Senghor (n.pr.),Léopold Sédar Senghor
lequel,which; who; whom
Les 39 marches,The 39 Steps
Les Bleus,French football team; The Blues
Les Demoiselles d'Avignon,Les Demoiselles d'Avignon
lésion (n.f.),lesion
L'Etre et le Néant,Being and Nothingness
lettre (n.f.) [correspondance],letter [correspondance]
lettre (n.f.) [alphabet],letter [alphabet]
le leur,theirs
leur,their
lever (n.m.),sunrise
lever (v.),raise; remove
lever l'ancre,weigh anchor
lèvre (n.f.),lip
lexique (n.m.),lexicon; glossary
lézard (n.m.),lizard
L'Homme rompu,The Broken Man
liaison (n.f.),connection; link
liasse (n.f.),wad; burdle
Liban (n.m.),Lebanon
libanais,Lebanese
libeller (v.),word; draw up; make out
libérer (v.),liberate; release; free; vacate
liberté (n.f.),freedom; liberty
librairie (n.f.),bookshop (UK); bookstore (US)
librairie-papeterie (n.f.),stationer's and bookshop
libre,free; available
libre-service (n.m.),self-servicestore
librement,freely
lien (n.m.),link; bond
lier à,tie to; linkto; connect to
lieu (n.m.),place
ligne (n.f.),line
ligné,lined paper
ligner (v.),draw lines
lilas,lilac
Lille (n.pr.),Lille
lime à ongles (n.f.),nail file
limite (n.f.),limit; extent; maximum
limiter (v.),limit; border; bound
limonade (n.f.),lemonade
limousine (n.f.),limousine
linge (n.m.),linen
linge de maison (n.m.),household linen
lingerie (n.f.),lingerie; linen room; underwear
lingot (n.m.),ingot
linguistique,linguistic
lion (n.m.),lion
Lionel Jospin (n.pr.),Lionel Jospin
liqueur (n.f.),liqueur
liquidation (n.f.),liquidation;remboursement
liquide (n.m.) [argent],cash
liquide,liquid [adjective]; fluid [adjective]
liquide (n.m.) [état],liquid
liquoreux,syrupy
lire (v.),read
lire (n.f.),lira
lisse,smooth; polished; bald
liste (n.f.),list
lister (v.),list
lit (n.m.),bed
lit à baldaquin (n.m.),four-poster bed; canopied bed
lit de camp (n.m.),camp bed
lit superposé (n.m.),bunk bed
litige (n.m.),dispute; lawsuit; litigation
litre (n.m.),litre (UK); liter (US)
littéraire (n.m.),literary person
littéraire,literary
littérature (n.f.),literature
littoral (n.m.),coast
livraison (n.f.),delivery
livre (n.f.),pound
livre (n.m.),book
livre sterling (n.f.),pound
livrer (v.),deliver; collect
livret d’épargne (n.m.),savings account
livreur (n.m.),delivery man
local (n.m.),room; premises; offices
localisé,localized
localiser (v.),locate; localize
locataire (double genre),tenant
location (n.f.),rental; hiring (UK)
locomotion (n.f.),locomotion
locomotive (n.f.),locomotive
loge (n.f.),dressing room; box; lodge
logement (n.m.),accommodation
loger (v.),accommodate; live; put up
logiciel (n.m.),software; program
logique (n.f.),logic
logistique,logistics
logithèque (n.f.),software library
loi (n.f.),law; act
loin,far
loin de,far from
lointain,distant; remote;faraway
Loir-et-Cher (n.pr.),Loir-et-Cher
loisir (n.m.),leisure
Lombardie (n.pr.f.),Lombardy
Londonien (n.m.),Londoner
Londres (n.pr.),London
long,long
long-courrier (n.m.),long-range aircraft; ocean-going ship
le long de,along; the length of
longer (v.),go along; walk along; stay close to
longiligne,long-limbed
longtemps,a long time; long
longuement,for a long time;at length
longueur (n.f.),length
lorrain,from Lorraine
lors de,during; at the time of
lorsque,when
Los Angeles (n.pr.),Los Angeles
loterie (n.f.),lottery
louer (v.),hire; rent
Louis Leroy (n.pr.),Louis Leroy
Louis Vauxcelles (n.pr.),Louis Vauxcelles
Louis XIV (n.pr.),Louis XIV
Louis XVI (n.pr.),Louis XVI
loupe (n.f.),magnifying glass
louper (v.),miss
lourd,heavy; filling
loutre (n.f.),otter
loutre de mer (n.f.),sea-otter
Louvre (n.pr.m.),The Louvre
Love Parade (n.pr.f.),Love Parade
loyal,loyal; faithful
loyer (n.m.),rent
lucarne (n.f.),skylight
ludo-éducatif,recreational learning
luge (n.f.),sledge (UK); sled (US)
lui,him; her
lui-même,himself
lumière (n.f.),light
lumineux,luminous
luminosité (n.f.),luminosity; brightness
lundi (n.m.),Monday
lune (n.f.),moon
lunettes (n.f.pl.),glasses; spectacles (UK)
lunettes de soleil (n.f.pl.),sunglasses
lutte (n.f.),wrestling
lutter (v.),struggle; fight
luxe (n.m.),luxury
luxueux,luxurious
lycée (n.m.),secondary school
Lyon (n.pr.),Lyons
Lyonnais (n.m.),from Lyons
lyonnais,from Lyons
macédoine (n.f.),mixed vegetables
machine (n.f.),machine; machinery; engine
machine à écrire (n.f.)    typ,ewriter
madame (n.f.),madam; Mrs (UK); Mrs. (US); lady
mademoiselle (n.f.),miss
Madrid (n.pr.),Madrid
magasin (n.m.),shop (UK); store (US)
magasinier (n.m.),shop keeper (UK); store keeper (US)
magazine (n.m.),magazine
maghrébin,North African
magicien (n.m.),magician
magie (n.f.),magic
magique,magical
magnat (n.m.),press baron
magnétophone (n.m.),tape recorder
magnétoscope (n.m.),video cassette recorder
magnifique,wonderful; splendid; magnificent
magret de canard (n.m.),duck breast
mah-jong (n.m.),mah-jong
mai (n.m.),May
maillot (n.m.),shirt; vest
maillot de bain (n.m.),swimsuit; swimming costume (UK); bathing suit
maillot de corps (n.m.),vest (UK); undershirt (US)
main (n.f.),hand
main dans la main,hand in hand
main-d'oeuvre (n.f.),labour; workforce
mains libres,hands-free
maintenant,now
maintenir (v.),keep; maintain
maire (double genre),mayor
mairie (n.f.),town hall (UK); city hall (US)
mais,but
maïs (n.m.),maize (UK); corn (US)
maison (n.f.) [bâtiment],house; home
maison (n.f.) [commerce],company
Maison-Blanche (n.pr.f.),The White House
maison mère (n.f.),parent company; headquarters
maître (n.m.),master
maître de conférence (n.m.) &lt;maîtres de,senior lecturer [approximately] (UK); assistant
conférences&gt;,professor [approximately] (US)
maître de maison (n.m.),host
maître mot (n.m.),catchword; keyword
maîtresse (n.f.),mistress
maîtrise de soi (n.f.),self-control
maîtriser (v.),master; control
majestueux,majestic
majeur,major
mal,with difficulty; badly
mal (n.m.),pain; difficulty
mal de gorge (n.m.),sore throat
mal de l'air (n.m.),airsickness
mal de mer (n.m.),seasickness
mal des montagnes (n.m.),mountain sickness
malade,ill; sick
malade (double genre),sick person; patient
maladie (n.f.),illness; disease
maladroit,clumsy
Malaisie (n.pr.f.),Malaysia
malfaiteur (n.m.),criminal
malgré tout,in spite of everything; even so; yet
malheur (n.m.),misfortune; calamity; hardship; trouble
malheureusement,unfortunately
malheureux,sad; unfortunate
malin,smart
malle (n.f.),trunk
mallette (n.f.),mallet; hammer
maman (n.f.),mummy (UK); mom (US)
mamie (n.f.),grandma; granny
manager (v.),manage
Manche (n.pr.f.),The English Channel
manche (n.f.),sleeve
manche courte (n.f.),short sleeves
manche longue (n.f.),long sleeves
mandarine (n.f.),tangerine; mandarin orange
mandat (n.m.),mandate; money order; proxy; postal order (UK)
manger (v.),eat
mangue (n.f.),mango
Manhattan (n.pr.),Manhattan
maniabilité (n.f.),manageability
manière (n.f.),way; manner
manières (n.f.pl.),manners
manifestation (n.f.),demonstration
manifeste (n.m.),manifesto
manifester (v.),show; reveal; demonstrate
manille (n.f.),shackle
manipulation (n.f.),handling; manipulation
manipuler (v.),handle; manipulate
manoeuvre (n.f.),manoeuvre; operation
manoeuvrer (v.),manoeuvre; operate; work
manque (n.m.),lack
manquer (v.),miss; lack
manquer de respect envers qqn,be disrespectful to sb
mante (n.f.),praying mantis
manteau (n.m.),coat
manuel (n.m.),manual; handbook
manuscrit,handwritten
marais (n.m.),marsh; swamp
Marais Mouillés (n.m.pl.),Marais Mouillés
marais poitevin (n.m.),The Poitevin Marsh
marais salant (n.m.),salt marsh
marathon (n.m.),marathon
marbre (n.m.),marble
marchand (n.m.),trader
marchander (v.),bargain; haggle over
marchandise (n.f.),commodity; goods
marche (n.f.),step; walk
marché (n.m.),market; bargain; deal
marche à pied (n.f.),walking
marché aux puces (n.m.),flea market
marché couvert (n.m.),indoor market
marcher (v.) [fonctionner],work
marcher (v.) [se mouvoir],walk
mardi (n.m.),Tuesday
Mardi Gras (n.m.),Shrove Tuesday
mare (n.f.),pool; pond
marécage,marsh; bog
marée (n.f.),tide
marée noire (n.f.),oil slick
Marguerite de Valois (n.pr.),Marguerite de Valois
mari (n.m.),husband
mariage (n.m.),wedding
marié,married
Marie-Antoinette (n.pr.),Marie-Antoinette
Marie Curie (n.pr.),Marie Curie
marin,navy; sea; marine
marin (n.m.),fisherman
marine (n.f.),navy
marionnette (n.f.),puppet
maritime,maritime; shipping; coastal
marketing (n.m.),marketing
marmelade (n.f.),marmalade
marmotte (n.f.),marmot
Maroc (n.pr.m.),Morocco
Marocain (n.m.),Moroccan
marocain,Moroccan
marque (n.f.),brand; mark
marqué,scored; noted (down)
marquer (v.),mark; score; note (down)
marron (n.m.),chestnut
marron glacé (n.m.pl.),candied chestnut
Mars (n.m.),Mars
mars (n.m.),March
Marseillais (n.m.),from Marseilles
marseillais,from Marseilles
Marseillaise (n.pr.f.),French national anthem
Marseille (n.pr.),Marseilles
martien (n.m.),Martian
Martinique (n.pr.f.),Martinique
Mary Pierce (n.pr.),Mary Pierce
masque (n.m.),mask
massacre (n.m.),massacre
masse (n.f.),mass
massif (n.m.),massif
Massif central (n.pr.m.),Massif Central
massif des Vosges (n.m.),massif des Vosges
mât (n.m.),mast
match (n.m.),match; game (US)
matelot (n.m.),sailor
matériau (n.m.),material
matériel (n.m.),equipment
maternel,maternal
maternité (n.f.),maternity hospital; maternity; motherhood
mathématicien (n.m.),mathematician
mathématique (n.f.),mathematics
matière (n.f.),material; matter; subject
matière première (n.f.),raw material
matin (n.m.),morning
matinée (n.f.),morning
maturité (n.f.),ripeness; maturity
maussade,sullen; gloomy
mauvais (n.m.),bad
mauvais,bad; wrong; nasty
mauvais payeur (n.m.),bad payer
mauve,mauve
maximum (n.m.),maximum; at the most
maya,Mayan
Maya Angelou (n.pr.),Maya Angelou
MC Solaar (n.pr.),MC Solaar
me,me; myself
mécanicien (n.m.),mechanic
mécanisme (n.m.),mechanism
méchant,nasty; bad; naughty
mécontent,dissatisfied; discontented; displeased
mécontentement (n.m.),dissatisfaction; annoyance; discontent
médaille (n.f.),medal
médecin (n.m.),doctor
médecin de famille (n.m.),family doctor
médecin traitant (n.m.),general practitioner
médecine (n.f.),medicine
média (n.m.),medium
médias (n.m.pl.),the (mass) media
médiatiser (v.),turn into a media event; give publicity in the media
médical,medical
médicament (n.m.),medicine
médicinal,medicinal
médiéval,medieval
médiocre,mediocre; indifferent
médiocrité (n.f.),mediocrity
Méditerranée (n.pr.f.),the Mediterranean (Sea)
méduse (n.f.),jellyfish
méfiant,suspicious
méga-octet (n.m.),megabyte
le meilleur,the best
meilleur,best; better
mélange (n.m.),mixture
mélanger (v.),mix
mêler (v.),mix; mix together; mix up
mélodie (n.f.),melody; tune
melon (n.m.),melon
membre (n.m.) [adhérent],member
membre (n.m.) [corps],limb
le même,the same
même,same; even
même si,even if
mémoire (n.f.),mind; memory
mémorisation (n.f.),memorization; storage
mémoriser (v.),memorize
menaçant,menacing; threatening
menace (n.f.),threat; menace
menacer (v.),threaten; menace
ménager (v.),be sparing with; handle carefully
mener (v.) [conduire],lead
mener (v.) [conséquence],lead
menottes (n.f.pl.),handcuffs
mensonge (n.m.),lie
mensualité (n.f.),monthly instalment
mensuel,monthly
menteur (n.m.),liar
menthe (n.f.),mint
mention (n.f.),mention; comment
mentionné,mentioned
mentionner (v.),mention
mentir (v.),lie
menton (n.m.),chin
menu (n.m.),menu
mer (n.f.),sea
mer du Nord (n.f.),the North Sea
mer Noire (n.f.),the Black Sea
mercerie (n.f.),haberdasher's shop (UK); notions store (US)
merci,thank you; thanks
merci bien,thanks a lot
merci infiniment,thank you very much
mercredi (n.m.),Wednesday
mère (n.f.),mother
méridienne (n.f.),meridian line; day bed [approximately]
meringue (n.f.),meringue
meringuer (v.),cover with meringue
mérité,deserved
mériter (v.),deserve
Merveille (n.pr.f.),The Marvel; The Wonder
merveille (n.f.),marvel; wonder
merveilleux,marvellous (UK); marvelous (US)
message (n.m.),message
messager (n.m.),messenger
messagerie (n.f.),messaging; freight forwarding
messagerie électronique (n.f.),electronic mail service
mesure (n.f.) [disposition],measure; step
mesure (n.f.) [évaluation],measurement
mesurer (v.),measure
métal (n.m.),metal
métallique,metal; metallic
météo (n.f.),weather forecast
météo,meteorological station
météorite (double genre),meteorite
météorologie (n.f.),meteorology
météorologique,weather; meteorological
météorologiste (double genre),meteorologist
météorologue (double genre),meteorologist; weather forecaster
méthode (n.f.),method
méticuleux,meticulous
métier (n.m.),profession; job
mètre (n.m.),metre (UK); meter (US)
mètre carré (n.m.),square metre
métro (n.m.),underground (UK); tube (UK); subway (US)
métro-boulot-dodo,daily grind; daily routine; 9 to 5
mets (n.m.),dish
metteur en scène (n.m.),director
mettre (v.),put (on); set
mettre à disposition,at the disposal of
mettre au point,adjust; finalize
mettre de côté,aside
mettre de l'ambiance,liven things up; give things a bit of atmosphere
mettre en avant,put forward
mettre en bouteille,bottle
mettre en confiance,put at ease
mettre en évidence (n.f.),emphasize; highlight
mettre en place,set up
mettre en valeur,bring out; highlight; put to good use
mettre fin à,put a stop to; put an end to
mettre la main à la pâte,lend a helping hand
mettre le couvert,set the table
mettre l'eau à la bouche,make sb's mouth water
mettre un frein à,block
mettre un terme,put an end  to; put a stop to
meuble (n.m.),piece of furniture
meurtre (n.m.),murder
mexicain,Mexican
mezzanine (n.f.),mezzanine
mi-temps,part-time
Miami (n.pr.),Miami
Michel-Ange (n.pr.),Michelangelo
micro (n.m.),microphone
micro-ondes (n.m.),microwaves
microbe (n.m.),microbe; germ
microphone (n.m.),microphone
microprocesseur (n.m.),microprocessor
microscope (n.m.),microscope
Midi (n.pr.m.),the South
midi (n.m.),midday
miel (n.m.),honey
le mien,mine
miette (n.f.),crumb; breadcrumb
le mieux,better; best
mieux,better; best
mieux que rien,better than nothing
mieux vaut,be better (that)
mignon,sweet; cute
migratoire,migratory
Milan (n.pr.),Milan
milieu (n.m.),middle; centre
militaire,military
mille,one thousand; a thousand
millénaire (n.m.),millennium
milliard (n.m.),billion
milliardaire (double genre),multimillionaire; billionaire
millier (n.m.),thousand
million (n.m.),million
minaret (n.m.),minaret
mince,slim
mine (n.f.),mine; mining
mineur,minor
mini-bar (n.m.),minibar
mini-jupe (n.f.),miniskirt
minibus (n.m.),minibus
minime,small; minimal
minimum (n.m.),minimum
ministre (n.m.),minister (UK); secretary (US)
Minitel (n.m.),viewdata service; Prestel (UK); Minitel (US)
minoritaire,minority
minuit (n.m.),midnight
minuscule,tiny; minuscule
minute (n.f.),minute
minutieusement,with meticulous care; in great detail
minutieux,meticulous
miraculeux,miraculous
miroir (n.m.),mirror
mise (n.f.),stake
mise en bouteille (n.f.),bottling
miser (v.),bet
mission (n.f.),mission
Mississippien (n.m.),Mississippian
mixeur (n.m.),mixer
mobile,mobile; movable
mobile home (n.m.),mobile home
mobilier,furniture
Mobylette (n.f.),moped
modalité (n.f.),form; clause
mode (n.m.),method
mode (n.f.),fashion
modèle (n.m.),model; type; pattern; example
modeler (v.),model; mould (UK); mold (US)
modem (n.m.),modem
modéré,moderate; reasonable
moderne,modern
modestie (n.f.),modesty
modifier (v.),change; rearrange; modify
modique,modest
moi,me
moi de même,me too
moi-même,myself
le moindre,the least; the slightest
moindre,lower; less; least; slightest
moine (n.m.),monk
le moins,the least
moins,minus; to
moins ... que,less . . . than
moins de,less than; in less than
le moins qu'on puisse dire,it's an understatement to say
mois (n.m.),month
moissonneuse-batteuse (n.f.),combine harvester
moitié (n.f.),half
Molière (n.pr.),Molière
moment (n.m.),time; moment
momentané,momentary
mon,my
mon Dieu,oh dear; my goodness; my God
monarchie (n.f.),monarchy
monarchie absolue (n.f.),absolute monarchy
monastère (n.m.),monastery
monde (n.m.) [terre],world
monde (n.m.) [gens],people
mondial,worldwide
mondialement,all over the world
moniteur (n.m.),instructor
monnaie (n.f.),change; currency
monnayer (v.),convert into cash
monoski (n.m.),monoskiing; monoski
monotone,monotonous
monsieur (n.m.),sir; mister; gentleman
monstre (n.m.),monster
monstrueux,monstrous; terrible
mont (n.m.),mount
mont Blanc (n.pr.m.),mont Blanc
Mont-Saint-Michel (n.pr.m.),Mont Saint Michel
montage (n.m.),assembly; fitting; editing; wiring
montagne (n.f.),mountain
montagne russe (n.f.)   roller-,coaster
montant (n.m.),total; amount
Monte Cinto (n.pr.m.),The Monte Cinto
montée (n.f.),climb; ascent
monter (v.),bring up; go up; set up
monter (v.) (+ être),go up; come up; climb up
montgolfière (n.f.),hot-air balloon
Montmartre (n.pr.),Montmartre
montre (n.f.),watch
montrer (v.),watch; show
monument (n.m.),monument
monument aux morts (n.m.),war memorial
moquette (n.f.),fitted carpet
morceau (n.m.),slice; piece; slide
mordre à l'hameçon,rise to the bait
morse (n.m.),walrus
mort,dead
mort (n.m.),death
mort (n.f.),death
Moscou (n.pr.),Moscow
mosquée (n.f.),mosque
Mosquée de Cordoue (n.pr.f.),Cordoba Mosque
mot (n.m.),word; note
mot-clé (n.m.),keyword
mot de passe (n.m.),password
mot d'ordre (n.m.),slogan
moteur (n.m.),motor boat; engine
moteur de recherche (n.m.) &lt;moteurs de,search engine
recherche&gt;,
motif (n.m.),motive; grounds; motif
motivant,attractive; rewarding
motivation (n.f.),motivation
motivé,motivated
motiver (v.),motivate
moto (n.f.),motorbike
motrice (n.f.),motor (UK); motor car (US)
mou,soft
mouche (n.f.),fly
mouchoir (n.m.),handkerchief
moudre (v.),grind; mill
mouette (n.f.),sea gull
mouiller (v.),wet; get wet
moule (n.f.),mussel
moulin (n.m.),windmill
Moulin-Rouge (n.pr.m.),Moulin Rouge
mourir (v.) (+ être),die
Mousquetaires (n.m.pl.),The Musketeers
mousqueton (n.m.),snap hook; snap-hook
mousse (n.f.),mousse
mousse à raser (n.f.),shaving foam
mousseux,sparkling; fizzy
mousson (n.f.),monsoon
moustique (n.m.),mosquito
moutarde (n.f.),mustard
mouton (n.m.),sheep; mutton
mouvement (n.m.),movement; burst; fit
moyen (n.m.),way; means
Moyen Age (n.m.),Middle Ages
moyen de transport (n.m.),means of transport
moyenne (n.f.),average
moyennement,moderately; fairly
Mozambique (n.pr.m.),Mozambique
Mozart (n.pr.),Mozart
MS-DOS,MS-DOS
muet,dumb
multicolore,multicoloured (UK); multicolored (US)
multimédia (n.m.),wet
multinationale (n.f.),multinational company
multiple,multiple; numerous
multiplication (n.f.),multiplication
multiplier (v.),multiply
multitude (n.f.),multitude; mass
Munich (n.pr.),Munich
mur (n.m.),wall
mur du son (n.m.),sound barrier
muraille (n.f.),wall
muscle (n.m.),muscle
musclé,muscular
musculaire,muscular
musculation (n.f.),body-building
musée (n.m.),museum
musée d'Orsay (n.m.),musée d'Orsay
musée du Louvre (n.m.),Louvre museum
music-hall (n.m.),music-hall
musical,musical
musicien (n.m.),musician
musique (n.f.),music
mutation (n.f.),transformation; transfer
mutuellement,mutually; each other
myrtille (n.f.),gooseberry
mystère (n.m.),mystery
mythe (n.m.),myth
mythique,mythical
nage (n.f.),swimming
nage indienne (n.f.),side stroke
nageoire (n.f.),fin; flipper
nager (v.),swim
nageur (n.m.),swimmer
naissance (n.f.),birth
naître (v.) (+ être),be born
Nantes (n.pr.),Nantes
Napoléon Bonaparte (n.pr.),Napoléon Bonaparte
Napoléon Premier (n.pr.),Napoleon the first
napoléonien,Napoleonic
nappe (n.f.),tablecloth
natal,native
natation (n.f.),swimming
natif (n.m.),native
nation (n.f.),nation
national,national
nationale (n.f.),main road
nationalité (n.f.),nationality
nature,natural; plain
nature (n.f.) [genre],nature [type]
nature (n.f.) [monde],nature [world]
nature morte (n.f.),still life
naturel,natural
naturellement,naturally; of course
naufrage (n.m.),wreck
naufragé,shipwrecked
nausée (n.f.),nausea
nautique,nautical
navet (n.m.),turnip
navette (n.f.),shuttle
navette spatiale (n.f.),space shuttle
navigabilité (n.f.),browsing capabilities
navigable,navigable
navigateur (n.m.),navigator; sailor
navigation (n.f.),navigation; sailing
naviguer (v.),sail; navigate
navire (n.m.),ship; vessel
navré,sorry
ne,not
né,born
ne ... aucun,no; not any; none
ne ... guère,not much; hardly
ne ... jamais,never
ne ... pas,not
ne ... pas beaucoup,not very much
ne ... pas du tout,not at all
ne ... pas encore,not yet
ne ... plus,no more; no longer
ne ... plus que,anymore
ne ... plus rien,not . . . anything; no more; nothing left; nothing
ne ... que,only
ne ... rien,not . . . anything; nothing
ne ... rien du tout,nothing at all
ne pas en perdre une miette,take it all in
ne pas en revenir,can not believe it
ne pas fermer l'oeil de la nuit,not sleep a wink
ne pas tourner rond,go well
ne quittez pas,hold the line
ne servir à rien,be pointless
néanmoins,nevertheless
nécessaire,necessary; required
nécessairement,necessarily
nécessité (n.f.),need
nécessiter (v.),require; need
nef (n.f.),nave
négligeable,negligible; insignificant; inconsiderable
négliger (v.),neglect; ignore; disregard
négociation (n.f.),negotiation
négocier (v.),negotiate
négritude (n.f.),negritude
neige (n.f.),snow
neiger (v.),snow
n'est-ce pas,isn't it; is it
Net (n.m.),Net
nettement,clearly
nettoyer (v.),clean
neuf,new
neuvième,ninth
neveu (n.m.),nephew
New Look (n.pr.),New Look
New York (n.pr.),New York
new-yorkais (n.m.),New Yorker
nez (n.m.),nose
nez à nez,face to face
ni,nor
ni ... ni ...,nor; neither . . . nor
Nice (n.pr.),Nice
niche (n.f.),kennel
nièce (n.f.),niece
Nil (n.pr.m.),Nile
n'importe,it doesn't matter!
n'importe lequel,any; either
n'importe où,anywhere
n'importe quand,at any time
n'importe quel,any
n'importe qui,anybody; anyone
n'importe quoi,anything; nonsense
Niort (n.pr.),Niort
niveau (n.m.),level
noble,noble
noces (n.f.pl.),wedding
Noël (n.pr.m.),Christmas
noeud (n.m.),knot; crux; bow
noeud papillon (n.m.),bow tie
Noir (n.m.),an African or person of African descent
noir,black [adjective]
noir (n.m.),black
noir de monde,teeming with people
noir et blanc,black and white
noisette,hazel
noisette (n.f.),hazelnut
noix (n.f.),nut
nom (n.m.) [identité],name
nom (n.m.) [grammaire],noun
nom de famille (n.m.),last name; surname
nombre (n.m.),number
nombreux,many; numerous
nommer (v.),name
non,no; not
non-alcoolisé,non-alcoholic
non-fumeur (n.m.),non-smoking
non-paiement (n.m.),non payment
non plus,no longer; neither
non seulement ... mais,not only . . . but also; not only . . . but
Nord (n.m.),the North
nord (n.m.),north
nord-est (n.m.),north-east
nord-ouest (n.m.),north-west
nordique,northern
normal,normal; standard
normalement,normally; usually
Normandie (n.pr.f.),Normandy
norme (n.f.),norm; standard
Norvège (n.pr.f.),Norway
Norvégien (n.m.),Norwegian
norvégien,Norwegian
notamment,notably; in particular
note (n.f.) [facture],bill; note
note (n.f.) [écriture],note
noter (v.),write; note
notice (n.f.),instructions
notion (n.f.),notion; idea
notoriété (n.f.),fame; notoriety
notre,our
le nôtre,ours
Notre-Dame de Paris (n.pr.f.) [monument],Notre-Dame [monument]
Notre-Dame de Paris [roman],Notre-Dame de Paris [novel]
nouer (v.),tie; knot together
nourrir (v.),feed; provide for; nourish
nourrissant,nutritious; nourishing
nourriture (n.f.),food
nous,we; us
nous y voilà,here we are
nouveau,new
nouveauté (n.f.),novelty; newness
nouvel an (n.m.),New Year
nouvelle (n.f.),a piece of news
nouvellement,recently; newly
nouvelles (n.f.pl.),news
novembre (n.m.),November
novice,beginner
noyade (n.f.),drowning
nu,bare; naked
nuage (n.m.),cloud
nuageux,cloudy
nuire (v.),harm
nuisible,harmful
nuit (n.f.),night
nul,no
nulle part,nowhere; anywhere
nullement,not at all
numériser (v.),digitize
numéro (n.m.) [chiffre],number
numéro (n.m.) [spectacle],number
