the (f),la
It(she) is closed today.,Elle est fermée aujourd&#39;hui.
Everything is sold.,Tout est vendu.
I really have enjoyed the meal.,J&#39;ai vraiment apprécié le repas.
He bought a dress for her.,Il a acheté une robe pour elle.
contact,le contact
they have waited,ils ont attendu
you (inf) have added,tu as ajouté
one has served,on a servi
she has served me,elle m&#39;a servi
I have waited,j&#39;ai attendu
she has gone out,elle est sortie
he has sent,il a envoyé
he has helped me,il m&#39;a aidé
I have helped you,je vous ai aidé
she has brought me...,elle m&#39;a apporté
I have added it,je l&#39;ai ajouté
you have sent me...,vous m&#39;avez envoyé
my father has gone out,mon père est sorti
I have waited for you,je vous ai attendu
This knife served me well.,Ce couteau m&#39;a bien servi.
he has reached...,il a atteint
you (inf) have taken...again,tu as repris
he has cut,il a coupé
I have missed my meaI,j&#39;ai raté mon repas
recognised/well known,reconnu
I recognised this man,J&#39;ai reconnu cet homme
Who has given this order and why?,Qui a donné cet ordre et pourquoi ?
For what reason is it yellow?,Pour quelle raison est-il jaune ?
The effect is almost the same.,L&#39;effet est presque le même.
She has given him a blow.,Elle lui a mis un coup.
You have been an example for me.,Tu as été un exemple pour moi.
"blow, punch",le coup
"the rest, remainder",la suite
"example, instance (m)",l&#39;exemple
"Anyway, I am too old for that.","De toute façon, je suis trop vieux pour ça."
effect (m),l&#39;effet
"For reasons that I do not understand, she does not want to talk to me.","Pour des raisons que je ne comprends pas, elle ne veut pas me parler."
He works under my orders.,Il travaille sous mes ordres.
That is my way of thinking.,C&#39;est ma façon de penser.
But orders are orders.,Mais les ordres sont les ordres.
system,le système
It is a great idea.,C&#39;est une grande idée.
action (f),l&#39;action
"Actions, not words","Des actions, pas des mots"
His look is on me.,Son regard est sur moi.
look,le regard
She just had played her last role.,Elle venait de jouer son dernier rôle.
"role, part, function",le rôle
He trusts his view.,Il fait confiance à son regard.
"movement, motion",le mouvement
Do you have ideas to help me?,Avez-vous des idées pour m&#39;aider ?
"relationship, relation",le rapport
to defend,défendre
adventure (f),l&#39;aventure
situation,la situation
problem,le problème
manner,la manière
value,la valeur
"type, guy",le type
importance (f),l&#39;importance
"public, audience",le public
truth,la vérité
subject,la matière
smile,le sourire
advice,le conseil
coach,l&#39;entraîneur (m)
level,le niveau
"evolution, development, advancement",l&#39;évolution
attention (f),l&#39;attention
space (m),l&#39;espace
shadow (f),l&#39;ombre
effort (m),l&#39;effort
to reduce,réduire
intelligence (f),l&#39;intelligence
"type, kind, sort",le genre
Friendship is a safe bet.,L&#39;amitié est une valeur sûre.
There exist several types of dresses.,Il existe plusieurs types de robes.
What to do in such a situation?,Que faire dans une telle situation ?
It is the only system of this type in France.,C&#39;est le seul système de ce type en France.
He is interested in the image itself.,Il s&#39;intéresse à l&#39;image elle-même.
This magazine has nothing of interest!,Ce magazine n&#39;a aucun intérêt !
Her works on this topic are of primary importance.,Ses travaux sur ce sujet sont de première importance.
The public came in numbers.,Le public est venu nombreux.
He never pays attention.,Il ne fait jamais attention.
It is not like me.,Ce n&#39;est pas mon genre.
Beware of the dog!,Attention au chien !
a little more effort,encore un petit effort
We are not playing at the same level.,Nous ne jouons pas au même niveau.
Why are there different spaces?,Pourquoi y a-t-il différents espaces ?
You know the sort?,Vous voyez le genre ?
I want to be of the required level.,Je veux être au niveau.
progress,le progrès
future (m),l&#39;avenir
result,le résultat
at random,au hasard
member,le membre
sign,le signe
experience (f),l&#39;expérience
organization,l&#39;organisation
"It takes time, but the results are worth the effort.","Cela prend du temps, mais les résultats en valent l&#39;effort."
Have you made progress in your studies?,Avez-vous fait des progrès dans votre travail ?
No sign of it?,Pas de signe de ça?
I still have to meet members of my family.,Je dois encore rencontrer des membres de ma famille.
series,la série
paper,le papier
choice,le choix
"chance, luck",la chance
"habit, custom (f)",l&#39;habitude
success,le succès
"secondhand, used",d&#39;occasion
product,le produit
form,la forme
"way, means",le moyen
faith,la foi
need,le besoin
quality,la qualité
rule,la règle
creation,la création
"on sale, for sale",en vente
indeed (2 words),en effet
followed (pp),suivi
He needs them (f).,Il a besoin d&#39;elles.
"You (inf) do not need it, and neither do we.","Tu n&#39;en as pas besoin, et nous non plus."
I am lucky.,J&#39;ai de la chance.
The wine is of good quality.,Le vin est d&#39;une bonne qualité.
But we need to take the time to search.,Mais nous devons prendre le temps de chercher.
voice,la voix
conversation,la conversation
"language, tongue (f)",la langue
opinion (f),l&#39;opinion
in contact,en contact
call (m),l&#39;appel
article (m),l&#39;article
press,la presse
"word, words, speech",la parole
communication,la communication
language (m),le langage
to keep one&#39;s word,tenir parole
to recall,se souvenir de
"at this moment, right now",en ce moment
not another word,pas un mot de plus
internet,l&#39;internet (m)
website,le site Internet
hello (phone),allô
"little, not much",peu
then,puis
then (not puis),ensuite
thus,ainsi
elsewhere,ailleurs
"moreover, by the way",d&#39;ailleurs
everywhere,partout
far,loin
outside (not extérieur),dehors
near,près
underneath,dessous
over there,là-bas
in this way,de cette manière
solution,la solution
construction,la construction
equipment,le matériel
decision,la décision
difference,la différence
project,le projet
act,l&#39;acte (m)
principle,le principe
model,le modèle
criticism,la critique
growth,la croissance
destiny,le destin
genius,le génie
proof,la preuve
work,le boulot
possibility,la possibilité
use,l&#39;utilisation (f)
reading,la lecture
mission,la mission
definition,la définition
intention,l&#39;intention (f)
detail,le détail
danger,le danger
explanation,l&#39;explication (f)
history,l&#39;histoire (f)
tradition,la tradition
sector,le secteur
mistake,l&#39;erreur (f)
exercise,l&#39;exercice (m)
division,la division
operation,l&#39;opération (f)
code,le code
strength,la force
future,l&#39;avenir (m)
character,le caractère
reality,la réalité
influence,l&#39;influence (f)
share,le part
part,la partie
total,le total
lie,le mensonge
control,le contrôle
childhood,l&#39;enfance (f)
fault,la faute
to wash (oneself),se laver
to get married,se marier
to remember,se souvenir
to be quiet,se taire
to prevent,empêcher
to avoid,éviter
to push,pousser
to meet,rencontrer
to build,construire
to solve,résoudre
to send,envoyer
to judge,juger
to move,bouger
to support,supporter
to replace,remplacer
to reflect [thoughts],réfléchir
to decide,décider
to lead to,entraîner
to protect,protéger
to fill,remplir
to describe,décrire
to organize,organiser
to check,vérifier
to undergo,subir
to quote,citer
"to transform, to change",transformer
to warn,prévenir
to sustain,soutenir
to give up,abandonner
to break,casser
to control,contrôler
to tell,raconter
to succeed,réussir
to telephone,téléphoner
to finish,terminer
to accompany,accompagner
to adopt,adopter
to share,partager
to run away,enfuir
to marry,marier
to return,retourner
to accept,accepter
to diminish,diminuer
to lend,prêter
to borrow,emprunter
I am loved,je suis aimé
you are loved (i),tu es aimé
she is respected,elle est respectée
we are respected,nous sommes respectés
it is read,il est lu
they are made (f),elles sont faites
you were adopted,vous avez été adopté
she was loved,elle a été aimée
"close to, near",près de
in front of,devant
through,à travers
"fewer, less than",moins de
in the process of,en train de
in the middle of,au milieu de
"next to, compared with",auprès de
"above, beyond",au-dessus de
below,en-dessous
"enough, rather, quite",assez
thanks to,grâce à
a lot of (not beaucoup),plein de
piece,le morceau
rest,le repos
preparation,la préparation
late,en retard
delay,le retard
network,le réseau
significance,la signification
"increase, rise",l&#39;augmentation
reflection,la réflexion
advantage,l&#39;avantage
mixture,le mélange
access,l&#39;accès
shock,le choc
protection,la protection
"help, assistance, aid",le secours
personality,la personnalité
trial,le procès
the issue,l&#39;émission
meeting,la réunion
disappearance,la disparition
origin,l&#39;origine
homework,le devoir
"stage (as in step, not theatrical)",l&#39;étape
damage,le dommage
too bad,dommage
conference,la conférence
option,l&#39;option
break,la pause
version,la version
agenda,l&#39;agenda
help,l&#39;aide
invitation,l&#39;invitation
list,la liste
category,la catégorie
evil,le mal
company,la compagnie
relationship,la relation
absence,l&#39;absence
kiss,le bisou
I had used,j&#39;avais utilisé
you had known (i),tu avais connu
he had accepted,il avait accepté
she had obtained,elle avait obtenu
we had proposed,nous avions proposé
you had added,vous aviez ajouté
they had left (m),ils étaient passés
they had had (f),elles aient eu
I had come,j&#39;étais venu
you had returned (retourner) (i),tu avais retourné
he had called,il avait appellé
she had translated,elle avait traduit
we had noticed,nous avions remarqué
you had brought,vous aviez apporté
they had been (m),ils avaient été
they had died (f),elles étaient mortes
I had written,j&#39;avais écrit
world,le monde
air,l&#39;air (m)
sun,le soleil
sea,la mer
sky,le ciel
nature,la nature
fire,le feu
wind,le vent
element,l&#39;élément (m)
soil,le sol
species,l&#39;espèce (f)
field,le champ
tree,l&#39;arbre
heat,la chaleur
forest,la forêt
flower,la fleur
rain,la pluie
rose,la rose
grass,l&#39;herbe (f)
wave,la vague
moon,la lune
mountain,la montagne
landscape,le paysage
smoke,la fumée
river (small),la rivière
star,l&#39;étoile (f)
summit,le sommet
river (large),le fleuve
climate,le climat
lake,le lac
ocean,l&#39;océan (m)
planet,la planète
cloud,le nuage
grain / seed,la graine
snow,la neige
source,la source
plant,la plante
environment,l&#39;environnement (m)
storm,l&#39;orage (m)
it is raining,il pleut
electricity,l&#39;électricité (f)
it&#39;s snowing,il neige
polluted,pollué
pollution,la pollution
gold,l&#39;or (m)
stone,la pierre
"silver, money",l&#39;argent (m)
iron,le fer
sand,le sable
"mirror, ice",la glace
leather,le cuir
metal,le métal
steel,l&#39;acier
"copper, brass, copperware",le cuivre
cotton,le coton
"oil, petrol",le pétrole
wood,le bois
dust,la poussière
plastic,le plastique
wool,la laine
having,ayant
being,étant
doing,faisant
saying,disant
acting,agissant
"work, piece",l&#39;oeuvre
music,la musique
theater,le théâtre
fashion,la mode
painting,la peinture
show,le spectacle
grade,la note
cinema,le cinéma
rhythm,le rythme
poetry,la poésie
artist,l&#39;artiste
film,le film
instrument,l&#39;instrument (m)
writer,l&#39;écrivain (m)
art,le dessin
museum,le musée
chalkboard,le tableau
song,la chanson
mask,le masque
novel,le roman
piano,le piano
concert,le concert
actor,l&#39;acteur
drums (drum kit),la batterie
violin,le violon
singer (m),le chanteur
guitar,la guitare
poem,le poème
stage,la scène
musician,le musicien
photography,la photographie
literature,la littérature
you will be,vous serez
I will be,je serai
you will be (i),tu seras
he will be,il sera
we will be,nous serons
they will be,ils seront
I will speak,je parlerai
they will have,ils auront
he will eat,il mangera
they will be able to,ils pourront
it will be necessary,il faudra
I will make/ do,je ferai
we will walk,nous marcherons
you will offer,vous offrirez
we will see,nous verrons
you will organise (i),tu organiseras
you will have to,vous devrez
he will finish,il finira
you will go (i),tu iras
she will die,elle mourra
I will love,j&#39;aimerai
"size (clothing), waist",la taille
volume,le volume
speed,la vitesse
height,la hauteur
width,la largeur
depth,la profondeur
square,le carré
side,le côté
I do not care.,Ça m&#39;est égal.
high up,en hauteur
In the next room.,Dans la pièce à côté.
head,la tête
hand,la main
case,le cas
body,le corps
arm,le bras
heart,le coeur
face,le visage
"face, side",la face
age,l&#39;âge (m)
eyes,les yeux
eye,l&#39;oeil (m)
foot,le pied
mouth,la bouche
blood,le sang
back,le dos
lip,la lèvre
skin,la peau
finger,le doigt
nose,le nez
leg,la jambe
forehead,le front
diet,le régime
stomach,le ventre
the teeth,les dents (f)
tear,la larme
illness,la maladie
neck,le cou
risk,le risque
treatment,le traitement
chest,la poitrine
throat,la gorge
health,la santé
ear,l&#39;oreille (f)
bone,l&#39;os (m)
hospital,l&#39;hôpital (m)
virus,le virus
medicine,la médecine
brain,le cerveau
"hair, stubble, fur",le poil
patient,le patient
life,la vie
to consult,consulter
cheek,la joue
shoulder,l&#39;épaule (f)
organ,l&#39;orgue (m)
"medicine, drug",le médicament
nurse,l&#39;infirmière
dentist,le dentiste
ankle,la cheville
clinic,la clinique
we are (subj:,nous soyons
we have (subj),nous ayons
I see (subj),je voie
he can (subj),il puisse
you search for (subj) (i),tu recherches
I travel (subj),je voyage
he closes (subj),il ferme
I do/make (subj),je fasse
you live (subj) (i),tu vives
they become (subj),ils deviennent
he say (subj),il dise
I react (subj),je réagisse
you enter (subj),vous entriez
war,la guerre
law,le droit
power,le pouvoir
society,la société
development,le développement
government,le gouvernement
liberty,la liberté
party (political),le parti
agreement,l&#39;accord (m)
the economy,l&#39;économie
revolution,la révolution
politics,la politique
security,la sécurité
defence,la défense
speech,le discours
process,le processus
ministry,le ministère
violence,la violence
budget,le budget
conflict,le conflit
mayor,le maire
candidate,le candidat
debt,la dette
tax,l&#39;impôt
town hall,la mairie
strategy,la stratégie
nation,la nation
assembly,l&#39;assemblée (f)
event,l&#39;événement (m)
vote,le vote
parliament,le parlement
democracy,la démocratie
demonstration,la manifestation
to vote,voter
senator,le sénateur
justice,la justice
to struggle,lutter
school,l&#39;école (f)
education,l&#39;enseignement (m)
study,l&#39;étude (f)
classroom,le salle de classe
class,la classe
pupil,l&#39;élève (m or f)
director,le directeur
to study,étudier
library,la bibliothèque
high school,le lycée
student,l&#39;étudiant (m)
pencil,le crayon
description,la description
training,la formation
semester,le semestre
concept,le concept
beginner,le débutant
teacher,l&#39;enseignant
do (i),fais
Let&#39;s go,Allons-y
see,voyez
pull,tirez
imagine,imaginez
change,changez
forget (i),oublie
leave,laissez
come,venez
put (i),mets
look (i),regarde
send (i),envoie
choose (i),choisis
stop (i),arrête
listen (i),écoute
eat (i),mange
be (1st person plural),soyons
advance (i),avance
run (i),cours
"say, tell (i)",dis
give,donnez
write,écrivez
excuse (i),excuse
play (i),joue
let&#39;s read,lisons
speak,parlez
take,prenez
he can,il peut
it is necessary,il faut
he must,il doit
he could (imp.),il pouvait
you want,vous voulez
they can,ils peuvent
it was necessary (imp.),il fallait
he would be able to,il pourrait
I can,je peux
I can (subj),je puisse
it would be necessary,il faudrait
I must,je dois
they could (imp.),ils pouvaient
I could (imp.),je pouvais
he will be able to,il pourra
he would have to,il devrait
I would be able to,je pourrais
they would be able to,ils pourraient
you can,vous pouvez
he will have to,il devra
I would have to,je devrais
we would be able to,nous pourrions
you can (i),tu peux
you want (i),tu veux
I would like,je voudrais
I would be,je serais
you would be (i),tu serais
he would be,il serait
we would be,nous serions
you would be,vous seriez
they would be,ils seraient
you would have,vous auriez
I would say,je dirais
you would have to (i),tu devrais
we would make/ do,nous ferions
he would love,il aimerait
he would go,il irait
they would like,ils voudraient
point,le point
function,la fonction
theory,la théorie
research,la recherche
science,la science
method,la méthode
analysis,l&#39;analyse (f)
measure,la mesure
temperature,la température
discovery,la découverte
limit,la limite
scale,l&#39;échelle (f)
circle,le cercle
radius,le rayon
scientist,le scientifique
degree,le degré
technology,la technologie
I would have been,j&#39;aurais été
you would have recognised (i),tu aurais reconnu
we would have become,nous serions devenus
he would have stopped,il aurait arrêté
you would have gone,vous seriez allé
they would have looked,ils auraient regardé
I would have underlined,j&#39;aurais souligné
you would have introduced (i),tu aurais présenté
she would have offered,elle aurait offert
we would have payed,nous aurions payé
you would have told,vous auriez raconté
ghost,le fantôme
black cat,le chat noir
broom,le balai
to carve,tailler
pumpkin,la citrouille
mummy,la momie
witch,la sorcière
devil,le diable
sweets,les bonbons
vampire,le vampire
werewolf,le loup-garou
costume,le déguisement
bat,la chauve-souris
monster,le monstre
haunted house,la maison hantée
trick or treat!,des bonbons ou un sort!
cobweb,la toile d&#39;araignée
skeleton,le squelette
train,le train
trip,le voyage
engine,le moteur
train station,la gare
boat,le bateau
plane,l&#39;avion (m)
to drive,conduire
wing,l&#39;aile (f)
accident,l&#39;accident
underground,le métro
airport,l&#39;aéroport (m)
motorcycle,la moto
steering wheel,le volant
petrol,l&#39;essence (f)
ticket,le ticket
Spanish,espagnol
continent,le continent
Brazilian,brésilien
bus,le bus
tourist,le touriste
passenger,le passager
tire,le pneu
passport,le passeport
Italian,italien
visit,la visite
guide,le guide
taxi,le taxi
view,la vue
"journey, distance",le trajet
to fly,voler
to speed up,accélérer
traffic,la circulation
to brake,freiner
they have been (subj),ils aient été
I have finished (subj),j&#39;aie fini
you have gone (subj) (i),tu sois allé
he has passed (subj),il ait passé
we have informed (subj),nous ayons informé
you have had (subj),vous ayez eu
you have prepared (subj) (i),tu aies préparé
account,le compte
price,le prix
production,la production
boss,le patron
worker,l&#39;ouvrier (m)
consumption,la consommation
capital,le capital
change (money),la monnaie
to produce,produire
industry,l&#39;industrie (f)
tourism,le tourisme
sale,la vente
industrial,industrielle
owner,le propriétaire
contract,le contrat
salary,le salaire
benefit,le bénéfice
union,le syndicat
fortune,la fortune
to hire,embaucher
credit,le crédit
investment,l&#39;investissement (m)
invoice,la facture
order,la commande
consumer,le consommateur
business,l&#39;affaire (f)
register,le registre
to rent,louer
tip,le service
reduction,la réduction
offer,l&#39;offre (f)
growing,en croissance
unemployed,au chômage
unemployment,le chômage
"purse, wallet",le porte-monnaie
goal,le but
the dance,la danse
race,la course
ball (small),la balle
stadium,le stade
to hit,frapper
sport,le sport
champion,le champion
team,l&#39;équipe (f)
football,le football
player,le joueur
bike,le vélo
ball (large),le ballon
golf,le golf
tennis,le tennis
competition,la compétition
gymnasium,le gymnase
leisure,le loisir
walk,la promenade
to jump,sauter
Nice shot!,Joli coup !
to score,marquer
mind,l&#39;esprit
soul,l&#39;âme (f)
angel,l&#39;ange (m)
religion,la religion
God,le Dieu
religious,religieux
saint,le saint
church,l&#39;église (f)
philosophy,la philosophie
hell,l&#39;enfer (m)
paradise,le paradis
day,le jour
decorations,les décorations (f)
fir,le sapin
mistletoe,le gui
sled,le traineau
reindeer (s),le renne
joyful,joyeux
Merry Christmas,Joyeux Noël
Santa Claus,Père Noël
to celebrate,fêter
elf,le farfadet
celebration,la fête
log,la bûche
yule log,la bûche de Noël
Christmas carol,le chant de Noël
snowball,la boule de neige
hot chocolate,le chocolat chaud
the north pole,le pole nord
Christmas ornament,la boulesl de Noël
"Christmas lights, fairy lights",les guirlandes (f)
fairy tale,le conte de fées
mermaid,la sirène
fairy,la fée
dwarf,le nain
knight,le chevalier
dragon,le dragon
curse,le sort
spinning wheel,le rouet
Cinderella,Cendrillon
Little Red Riding Hood,Le Petit Chaperon Rouge
Blue Beard,Barbe-Bleue
Puss in Boots,Le Chat Botté
magic,la magie
magic spell,le sortilège
wizard,le sorcier
giant,le géant
ogre,l&#39;ogre (m)
Snow White,Blanche-Neige
Once upon a time,Il était une fois
they lived happily ever after,Ils vécurent heureux et eurent beaucoup d&#39;enfants
wand,la baguette
genie,le génie
"Easy come, easy go.","Ça va, ça vient."
Nothing lasts forever.,Rien n&#39;est éternel.
Out of sight out of mind.,"Loin des yeux, loin du coeur."
The absent are always in the wrong.,Les absents ont toujours tort.
"Move your feet, lose your seat.","Qui va à la chasse, perd sa place."
The grass is always greener on the other side.,L&#39;herbe est toujours plus verte chez le voisin.
Don&#39;t bite off more than you can chew.,Il ne faut pas avoir les yeux plus gros que le ventre.
Don&#39;t put all your eggs in one basket.,Il ne faut pas mettre tous ses oeufs dans le même panier .
Not so fast!,Pas si vite!
Run for your life.,Sauve qui peut.
"When in Rome, do as the Romans do.","À Rome, fait comme les Romains."
Better late than never.,Mieux vaut tard que jamais.
All good things must come to an end.,Toutes les bonnes choses ont une fin.
Every little helps.,"Petit à petit, l&#39;oiseau fait son nid."
The early bird catches the worm.,Le monde appartient à ceux qui se lèvent tôt.
"No need to worry, it won&#39;t get things any further.",Tout vient à point à qui sait attendre.
To each his own.,À chacun ses goûts.
You only live once.,On ne vit qu&#39;une fois.
The walls have ears.,Les murs ont des oreilles.
That car costs an arm and a leg.,Cette voiture coûte un bras.
Actions speak louder than words.,Les actes en disent plus long que les mots.
Help!,Au secours !
Let&#39;s not split hairs!,Ne coupons pas les cheveux en quatre !
Over my dead body!,On devra me passer sur le corps !
Are you a model? (i),Tu es mannequin ?
I have a crush on you. (i),Tu me plais.
Do you want to dance with me? (f),Voulez vous danser ?
Can I buy you an ice cream? (i),Est-ce que je peux t&#39;offrir une glace ?
"I&#39;m not drunk, I&#39;m just intoxicated by you. (i)","Je ne suis pas saoul, je suis juste ivre de toi."
"Even without gravity on earth, I would still fall in love with you. (i)","Même sans gravité sur Terre, je tomberais amoureux de toi."
What&#39;s your name? (f),Vous vous appelez comment?
He is Prince Charming.,C&#39;est le prince charmant.
Are we going to your place or mine? (i),On va chez toi ou chez moi ?
I want to go out with you. (i),Je veux sortir avec toi.
Do you want to go out with me? (f),Voulez vous sortir avec moi ?
Can you give me your phone number? (i),Tu peux me donner ton numéro de téléphone ?
Do you want to go get a drink? (f),Voulez vous aller prendre un verre ?
Can I buy you a drink? (i),Je peux t&#39;offrir un verre ?
weather,le temps
weather report,le bulletin météorologique
rainbow,l&#39;arc en ciel (m)
weatherman,le présentateur météo
cloudy,nuageux
sunrise,le lever du soleil
sunset,le coucher du soleil
hail,la grêle
atmospheric pressure,la pression atmosphérique
it is snowing,il neige
it is freezing,il gèle
tornado,la tornade
blizzard,la tempête de neige
thunder,le tonnerre
lightning,l&#39;éclair (m)
avalanche,l&#39;avalanche (f)
hurricane,l&#39;ouragan (m)
snowman,le bonhomme de neige
parasol,l&#39;ombrelle (f)
sun glasses,les lunettes de soleil (f)
it is hot,il fait chaud
it&#39;s cold,il fait froid
What&#39;s the weather like?,Quel temps fait-il?
electric guitar,la guitare électrique
acoustic guitar,la guitare acoustique
drum,le tambour
flute,la flûte
triangle,le triangle
saxophone,le saxophone
bow,l&#39;archet (m)
cello,le violoncelle
recorder,la flûte à bec
harmonica,l&#39;harmonica (m)
wind instrument,l&#39;instrument à vent (m)
trumpet,la trompette
bagpipes,la comemuse
brass instrument,les cuivres (m)
woodwind,les bois (m)
percussion,les percussions (f)
cymbal,la cymbale
clarinet,la clarinette
choir,la chorale
singer (f),la chanteuse
to play music,jouer de la musique
musical instrument,l&#39;instrument de musique
printer,l&#39;imprimante (f)
to click,cliquer
to click on,cliquer sur
software,le logiciel
hardware,le matériel informatique
to program,programmer
programmer,le programmeur
desktop computer,l&#39;ordinateur de bureau
to text,envoyer des SMS
app,l&#39;appli (f)
application,l&#39;application
to download,télécharger
file,le fichier
"battery (round, non-rechargeable)",la pile
"battery (square, rechargeable)",la batterie
to connect (to WiFi),connecter
window,la fenêtre
browser,le navigateur
message,le message
to delete,supprimer
to search for,rechercher
search engine,le moteur de recherche
to calculate,calculer
calculator,la calculatrice
digital,numérique
virtual,virtuel
television,la télévision
"TV, telly",la télé
archeologist,l&#39;archéologue (m or f)
prehistory,la préhistoire
dinosaur,le dinosaure
flint,le silex
fossil,le fossile
to hunt,chasser
Pharaoh,le Pharaon
Egyptian,Égyptien
hieroglyph,l&#39;hiéroglyphe (m)
Greek,Grec
pyramid,la pyramide
priest,le prêtre
priestess,la prêtresse
slave,l&#39;esclave (m or f)
Olympic games,les Jeux Olympiques (m)
the Minotaur,le Minotaure
Roman,Romaine
the Roman Empire,l&#39;Empire romain
emperor,l&#39;empereur
empress,l&#39;impératrice
chariot,le char
gladiator,le gladiateur
the Middle Ages,le Moyen Âge
abbey,l&#39;abbaye (f)
castle,le château
plague,la peste
duke,le duc
duchess,la duchesse
baron,le baron
baroness,la baronne
samurai,le samouraï
Indian,indien
explorer (m),l&#39;explorateur
explorer (f),l&#39;exploratrice
colony,la colonie
cowboy,le cow-boy
civil war,la guerre civile
factory,l&#39;usine (f)
world war,la guerre mondiale
trench,la tranchée
homeland,la patrie
rocket,la fusée
spaceship,le vaisseau spatial
moon landing,l&#39;alunissage (m)
present,le présent
"freedom, equality, brotherhood","Liberté, Égalité, Fraternité"
congratulations,félicitations
Happy birthday!,Joyeux anniversaire!
Christmas,Noël
Christmas Eve,la veille de Noël
Christmas tree,le sapin de Noël
New Year&#39;s Eve,la Saint-Sylvestre
New Year&#39;s Day,le Jour de l&#39;An
Labour Day (1 May),Fête du Travail
Easter,Pâques (f/pl)
Easter Bunny,Le Lapin de Pâques
Easter egg,l&#39;oeuf de Pâques (m)
Happy Easter,Joyeuses pâques
Bastille Day (14 July),la Fête Nationale
Victory in Europe Day (8 May),la Fête de la Victoire
Mother&#39;s Day,la Fête des Mères
Father&#39;s Day,la Fête des Pères
Armistice Day,Jour d&#39;Armistice
Assumption (15 August),Assomption
All Saints&#39; day (1 November),la Toussaint
Pentecost,la Pentecôte
Halloween,Halloween (f)
Valentine&#39;s Day,la Saint Valentin
